timestamp,datetime,count,temperature,rpm,speed,throttle,fuel,speedLimit,acceleration
1722418491.9483004,2024-07-31 12:34:51,0,76,,,,,0,0
1722418491.9981358,2024-07-31 12:34:51,1,76,1262,,,,0,0
1722418492.052031,2024-07-31 12:34:52,2,76,1262,23,,,0,0
1722418492.102201,2024-07-31 12:34:52,3,76,1262,23,15,,0,0.0
1722418492.1520417,2024-07-31 12:34:52,4,76,1262,23,15,82,0,0.0
1722418492.3520606,2024-07-31 12:34:52,5,76,1262,23,15,82,0,0.0
1722418492.4022737,2024-07-31 12:34:52,6,76,1266,23,15,82,0,0.0
1722418492.452065,2024-07-31 12:34:52,7,76,1266,23,15,82,0,0.0
1722418492.502179,2024-07-31 12:34:52,8,76,1266,23,16,82,0,0.0
1722418492.552072,2024-07-31 12:34:52,9,76,1266,23,16,82,0,0.0
1722418492.7521274,2024-07-31 12:34:52,10,76,1266,23,16,82,0,0.0
1722418492.8023322,2024-07-31 12:34:52,11,76,1294,23,16,82,0,0.0
1722418492.8522465,2024-07-31 12:34:52,12,76,1294,23,16,82,0,0.0
1722418492.9023356,2024-07-31 12:34:52,13,76,1294,23,15,82,0,0.0
1722418492.9682596,2024-07-31 12:34:52,14,76,1294,23,15,82,0,0.0
1722418493.1923633,2024-07-31 12:34:53,15,76,1294,23,15,82,0,0.0
1722418493.2521207,2024-07-31 12:34:53,16,76,1190,23,15,82,0,0.0
1722418493.312199,2024-07-31 12:34:53,17,76,1190,23,15,82,0,0.0
1722418493.3722079,2024-07-31 12:34:53,18,76,1190,23,17,82,0,0.0
1722418493.4390938,2024-07-31 12:34:53,19,76,1190,23,17,82,0,0.0
1722418493.6683724,2024-07-31 12:34:53,20,75,1190,23,17,82,0,0.0
1722418493.7281969,2024-07-31 12:34:53,21,75,1226,23,17,82,0,0.0
1722418493.788227,2024-07-31 12:34:53,22,75,1226,23,17,82,0,0.0
1722418493.8483691,2024-07-31 12:34:53,23,75,1226,23,17,82,0,0.0
1722418493.9083536,2024-07-31 12:34:53,24,75,1226,23,17,82,0,0.0
1722418494.132438,2024-07-31 12:34:54,25,75,1226,23,17,82,0,0.0
1722418494.198191,2024-07-31 12:34:54,26,75,1294,23,17,82,0,0.0
1722418494.2582355,2024-07-31 12:34:54,27,75,1294,24,17,82,0,16.65430721276976
1722418494.3192217,2024-07-31 12:34:54,28,75,1294,24,17,82,0,0.0
1722418494.3790941,2024-07-31 12:34:54,29,75,1294,24,17,82,0,0.0
1722418494.6024027,2024-07-31 12:34:54,30,75,1294,24,17,82,0,0.0
1722418494.662233,2024-07-31 12:34:54,31,75,1296,24,17,82,0,0.0
1722418494.7222724,2024-07-31 12:34:54,32,75,1296,24,17,82,0,0.0
1722418494.7822187,2024-07-31 12:34:54,33,75,1296,24,18,82,0,0.0
1722418494.842342,2024-07-31 12:34:54,34,75,1296,24,18,82,0,0.0
1722418495.0791297,2024-07-31 12:34:55,35,75,1296,24,18,82,0,0.0
1722418495.139418,2024-07-31 12:34:55,36,75,1344,24,18,82,0,0.0
1722418495.20254,2024-07-31 12:34:55,37,75,1344,25,18,82,0,15.84232850996967
1722418495.282261,2024-07-31 12:34:55,38,75,1344,25,18,82,0,0.0
1722418495.3423772,2024-07-31 12:34:55,39,75,1344,25,18,82,0,0.0
1722418495.5683455,2024-07-31 12:34:55,40,75,1344,25,18,82,0,0.0
1722418495.628394,2024-07-31 12:34:55,41,75,1358,25,18,82,0,0.0
1722418495.6891065,2024-07-31 12:34:55,42,75,1358,25,18,82,0,0.0
1722418495.748429,2024-07-31 12:34:55,43,75,1358,25,18,82,0,0.0
1722418495.8124948,2024-07-31 12:34:55,44,75,1358,25,18,82,0,0.0
1722418496.0423295,2024-07-31 12:34:56,45,75,1358,25,18,82,0,0.0
1722418496.1024995,2024-07-31 12:34:56,46,75,1393,25,18,82,0,0.0
1722418496.162316,2024-07-31 12:34:56,47,75,1393,25,18,82,0,0.0
1722418496.2223332,2024-07-31 12:34:56,48,75,1393,25,18,82,0,0.0
1722418496.2824342,2024-07-31 12:34:56,49,75,1393,25,18,82,0,0.0
1722418496.5084133,2024-07-31 12:34:56,50,75,1393,25,18,82,0,0.0
1722418496.5683928,2024-07-31 12:34:56,51,75,1370,25,18,82,0,0.0
1722418496.6284735,2024-07-31 12:34:56,52,75,1370,25,18,82,0,0.0
1722418496.689127,2024-07-31 12:34:56,53,75,1370,25,17,82,0,0.0
1722418496.7484868,2024-07-31 12:34:56,54,75,1370,25,17,82,0,0.0
1722418496.9724634,2024-07-31 12:34:56,55,75,1370,25,17,82,0,0.0
1722418497.032391,2024-07-31 12:34:57,56,75,1401,25,17,82,0,0.0
1722418497.0923774,2024-07-31 12:34:57,57,75,1401,26,17,82,0,16.670458384505626
1722418497.1584175,2024-07-31 12:34:57,58,75,1401,26,17,82,0,0.0
1722418497.2192929,2024-07-31 12:34:57,59,75,1401,26,17,82,0,0.0
1722418497.4524384,2024-07-31 12:34:57,60,75,1401,26,17,82,0,0.0
1722418497.512605,2024-07-31 12:34:57,61,75,1393,26,17,82,0,0.0
1722418497.5724254,2024-07-31 12:34:57,62,75,1393,25,17,82,0,-16.716701540423667
1722418497.6324193,2024-07-31 12:34:57,63,75,1393,25,17,82,0,0.0
1722418497.6924238,2024-07-31 12:34:57,64,75,1393,25,17,82,0,0.0
1722418497.9184623,2024-07-31 12:34:57,65,75,1393,25,17,82,0,0.0
1722418497.9784558,2024-07-31 12:34:57,66,75,1392,25,17,82,0,0.0
