timestamp,datetime,count,temperature,rpm,speed,throttle,fuel,speedLimit,acceleration
1721595918.0127282,2024-07-21 22:05:18,0,84,,,,,0,0
1721595918.0627825,2024-07-21 22:05:18,1,84,642,,,,0,0
1721595918.1127694,2024-07-21 22:05:18,2,84,642,0,,,0,0
1721595918.1630735,2024-07-21 22:05:18,3,84,642,0,12,,0,0.0
1721595918.4128647,2024-07-21 22:05:18,4,84,642,0,12,,0,0.0
1721595918.4628663,2024-07-21 22:05:18,5,84,644,0,12,,0,0.0
1721595918.5130436,2024-07-21 22:05:18,6,84,644,0,12,,0,0.0
1721595918.5631268,2024-07-21 22:05:18,7,84,644,0,12,,0,0.0
1721595918.8130383,2024-07-21 22:05:18,8,84,644,0,12,,0,0.0
1721595918.8630433,2024-07-21 22:05:18,9,84,640,0,12,,0,0.0
1721595918.9130774,2024-07-21 22:05:18,10,84,640,0,12,,0,0.0
1721595918.9642732,2024-07-21 22:05:18,11,84,640,0,12,,0,0.0
1721595919.2132046,2024-07-21 22:05:19,12,84,640,0,12,,0,0.0
1721595919.2632086,2024-07-21 22:05:19,13,84,643,0,12,,0,0.0
1721595919.3132398,2024-07-21 22:05:19,14,84,643,0,12,,0,0.0
1721595919.3642652,2024-07-21 22:05:19,15,84,643,0,12,,0,0.0
1721595919.6143034,2024-07-21 22:05:19,16,84,643,0,12,,0,0.0
1721595919.6642897,2024-07-21 22:05:19,17,84,643,0,12,,0,0.0
1721595919.7143192,2024-07-21 22:05:19,18,84,643,0,12,,0,0.0
1721595919.7795496,2024-07-21 22:05:19,19,84,643,0,12,,0,0.0
1721595920.2248175,2024-07-21 22:05:20,20,84,643,0,12,,0,0.0
1721595923.4013171,2024-07-21 22:05:23,21,84,643,0,14,,0,0.0
1721595924.2553928,2024-07-21 22:05:24,22,84,643,0,14,,0,0.0
1721595924.601952,2024-07-21 22:05:24,23,84,643,0,14,,0,0.0
1721595925.1759589,2024-07-21 22:05:25,24,84,643,0,14,,0,0.0
1721595925.2419574,2024-07-21 22:05:25,25,84,643,0,14,,0,0.0
1721595925.505894,2024-07-21 22:05:25,26,85,643,0,14,,0,0.0
1721595925.5660942,2024-07-21 22:05:25,27,85,704,0,14,,0,0.0
1721595925.9561288,2024-07-21 22:05:25,28,85,704,0,14,,0,0.0
1721595926.0122273,2024-07-21 22:05:26,29,85,696,0,14,,0,0.0
1721595926.1161675,2024-07-21 22:05:26,30,85,696,0,14,,0,0.0
1721595926.953082,2024-07-21 22:05:26,31,85,696,0,14,,0,0.0
1721595927.9032893,2024-07-21 22:05:27,32,85,696,0,14,,0,0.0
1721595928.287549,2024-07-21 22:05:28,33,85,696,0,14,,0,0.0
1721595928.3472521,2024-07-21 22:05:28,34,85,696,0,14,,0,0.0
